a, base, consequência, escala, minha
acabo, de
antônio, carlos
aqui, este
as, notas
aí, que
base, é
carlos, jobim
com, a
como, eu
consequência, do, inevitável
contar, com
de, uma, dizer, você, toda
deu, em
diz, nada
dizer, como
do, que
dó, fica
e, não, no, voltei, quem
eis, aqui
em, nada
entrar, mas
escala, e
esta, outra
este, sambinha
eu, sou, volto, gosto
existe, por
fala, tanto
feito, numa
fica, sempre
final, não
fique, numa
fá, sol
gente, existe
gosto, de
inevitável, de
jobim, eis
já, me
lá, si
mas, a
me, utilizei
mi, fá
minha, nota
nada, ou, já, não, e
nenhuma, fique
no, final
nota, só, como
notas, vão, ré
numa, nota
não, diz, sobrou, deu
ou, quase
outra, é
outras, notas
por, aí
pra, minha, você
quanta, gente
quase, nada
que, acabo, fala
quem, quer
quer, todas
ré, mi
samba, de
sambinha, feito
sem, nenhuma
sempre, sem
si, dó
sobrou, nada
sol, lá
sou, a
só, antônio, outras, esta, e
tanto, e
toda, a
todas, as
uma, nota, só
utilizei, de
você, quanta, vou, e
voltei, pra
volto, pra
vou, contar
vão, entrar
é, uma, consequência
